link, exercise, hash, file, skill
block-6/diff-eq-intro.html, 47.01, OojcwF, Exercises/bear-blow-kayak.Rmd, G-MC8XJ
block-6/diff-eq-intro.html, 47.03, frkSBa, Exercises/rat-find-closet.Rmd, D-93XWJ
block-6/diff-eq-intro.html, 47.05, wZsrpW, Exercises/seaweed-jump-sofa.Rmd, X-MO2V8
 block-6/diff-eq-intro.html, 47.05, wZsrpW, Exercises/seaweed-jump-sofa.Rmd, X-KZLDP
block-6/diff-eq-intro.html, 47.07, PZjVAc, Exercises/fish-burn-fridge.Rmd, D-93XWJ
block-6/diff-eq-intro.html, 47.09, 9x2tYm, Exercises/squirrel-tell-chair.Rmd, X-KZLDP
block-6/diff-eq-intro.html, 47.11, 34QnFG, Exercises/cheetah-hit-chair.Rmd, D-93XWJ
block-6/diff-eq-intro.html, 47.13, x4CiKv, Exercises/ant-keep-screen.Rmd, M-P1ZSV
block-6/diff-eq-intro.html, 47.15, gLXhdu, Exercises/bird-trim-bulb.Rmd, N-O88YI
block-6/diff-eq-intro.html, 47.17, Amzsqx, Exercises/sheep-chew-dish.Rmd, A-JD4OX
