link, exercise, hash, file, skill
modeling/01-parameters.html, 7.2, uKCIE, Exercises/scale-input-1.Rmd, unassigned
modeling/01-parameters.html, 7.3, BLECL, Exercises/scale-input-2.Rmd, unassigned
modeling/01-parameters.html, 7.1, MWLCS, Exercises/fiducial-point.Rmd, unassigned
modeling/01-parameters.html, 7.5, FKLEU, Exercises/two-sines.Rmd, unassigned
modeling/01-parameters.html, XX.XX, amCjZG, Exercises/walnut-run-dish.Rmd, input
 modeling/01-parameters.html, XX.XX, amCjZG, Exercises/walnut-run-dish.Rmd, &
 modeling/01-parameters.html, XX.XX, amCjZG, Exercises/walnut-run-dish.Rmd, output
 modeling/01-parameters.html, XX.XX, amCjZG, Exercises/walnut-run-dish.Rmd, scaling
modeling/01-parameters.html, XX.XX, 2iItLg, Exercises/boy-put-sofa.Rmd, Input
 modeling/01-parameters.html, XX.XX, 2iItLg, Exercises/boy-put-sofa.Rmd, and
 modeling/01-parameters.html, XX.XX, 2iItLg, Exercises/boy-put-sofa.Rmd, output
 modeling/01-parameters.html, XX.XX, 2iItLg, Exercises/boy-put-sofa.Rmd, scaling
