link, exercise, hash, file, skill
preliminaries/01-modeling-change.html, XX.XX, YU5NCD, Exercises/bird-wake-shoe.Rmd, unassigned
preliminaries/01-modeling-change.html, XX.XX, zbkNpV, Exercises/doe-trim-table.Rmd, unassigned
preliminaries/01-modeling-change.html, 1.1, VDKUI, Exercises/cow-likes-chair.Rmd, unassigned
preliminaries/01-modeling-change.html, XX.XX, 37DC14, Exercises/duck-pay-radio.Rmd, unassigned
preliminaries/02-notation.html, 2.1, TKWEW, Exercises/convention-drill.Rmd, unassigned
preliminaries/02-notation.html, 2.2, LDNE, Exercises/function-notation.Rmd, unassigned
preliminaries/02-notation.html, 2.3, kZG5Fj, Exercises/puppy-build-radio.Rmd, unassigned
preliminaries/02-notation.html, 2.4, aeOnO5, Exercises/horse-sing-drawer.Rmd, unassigned
preliminaries/02-notation.html, 2.5, ooJK5d, Exercises/pine-light-mug.Rmd, unassigned
preliminaries/02-notation.html, 2.6, BXCA4, Exercises/fish-sees-tree.Rmd, unassigned
preliminaries/02-notation.html, 2.7, 0V510o, Exercises/goat-look-boat.Rmd, R
 preliminaries/02-notation.html, 2.7, 0V510o, Exercises/goat-look-boat.Rmd, formula
 preliminaries/02-notation.html, 2.7, 0V510o, Exercises/goat-look-boat.Rmd, notation
preliminaries/02-notation.html, 2.8, Ce79t3, Exercises/pollen-fly-lamp.Rmd, makeFun()
preliminaries/02-notation.html, 2.9, BaEJkS, Exercises/seahorse-take-pen.Rmd, unassigned
preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, reading
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, slice
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, surface
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, contour
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, reading
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, slice
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, surface
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, contour
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, reading
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, slice
 preliminaries/03-graphs-and-graphics.html, XX.XX, sR6PVw, eagle-toss-cotton.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, surface
 preliminaries/03-graphs-and-graphics.html, XX.XX, bYHEy6, Exercises/squirrel-hold-bulb.Rmd, plots
preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, read
 preliminaries/03-graphs-and-graphics.html, XX.XX, bCD1KG, Exercises/cheetah-lay-roof.Rmd, contour
