block, chapter, number, hash, fname, status, skill, comment
Preliminaries, quant-function-space, "1.01", "YU5NCD", "Exercises/bird-wake-shoe.Rmd", passed, skill, numbers versus quantities
Preliminaries, quant-function-space, "1.02", "zbkNpV", "Exercises/doe-trim-table.Rmd", passed, skill, notation for function definitions
Preliminaries, quant-function-space, "1.03", "VDKUI", "Exercises/cow-likes-chair.Rmd", passed, skill, comment
Preliminaries, quant-function-space, "1.04", "37DC14", "Exercises/duck-pay-radio.Rmd", passed, skill, continuity 
Preliminaries, notation, "2.01", "TKWEW", "Exercises/convention-drill.Rmd", passed, skill, comment
Preliminaries, notation, "2.02", "LDNE", "Exercises/function-notation.Rmd", passed, "Nr-Fun-100", comment
Preliminaries, notation, "2.03", "kZG5Fj", "Exercises/puppy-build-radio.Rmd", passed, "Nr-Fun-100", comment
Preliminaries, notation, "2.04", "aeOnO5", "Exercises/horse-sing-drawer.Rmd", passed, "Co-Fun-102", comment
Preliminaries, notation, "2.05", "ooJK5d", "Exercises/pine-light-mug.Rmd", passed, "Co-Fun-100", comment
Preliminaries, notation, "2.06", "BXCA4", "Exercises/fish-sees-tree.Rmd", passed, "Co-Fun-102b-drill", "basic R instructions""
Preliminaries, notation, "2.07", "0V510o", "Exercises/goat-look-boat.Rmd", passed,"Nc-Fun-102a-drill", comment
Preliminaries, notation, "2.08", "Ce79t3", "Exercises/pollen-fly-lamp.Rmd", passed, "Nc-Fun-100-drill", "makeFun()"
Preliminaries, notation, "2.09", "BaEJkS", "Exercises/seahorse-take-pen.Rmd", raw, skill, when things go wrong
Preliminaries, "visualizing functions", "4.01", "sR6PVw", "Exercises/eagle-toss-cotton.Rmd", passed, "G-reading_slice_plots", comment
Preliminaries, "visualizing functions", "4.02", "bYHEy6", "Exercises/squirrel-hold-bulb.Rmd", passed,"read surface plots", comment
Preliminaries, "visualizing functions", "4.03", "sUmMZv", "Exercises/seahorse-hear-magnet.Rmd", passed, "Gc-Fun-120 Gi-Fun-120", "slice through 4-dimensional space"
Preliminaries, "visualizing functions", "4.04", "YvKFYB", "Exercises/girl-shut-pan.Rmd", passed, "G-function", comment 
Preliminaries, "visualizing functions", "4.05", "kelxlB", "Exercises/gradient-field-pink.Rmd", passed, "G-contour-plots", comment TESTING
Preliminaries, "visualizing functions", "4.06", "sgmWCB", "Exercises/frog-swim-closet.Rmd", passed, skill, comment 
Preliminaries, "visualizing functions", "4.07", "Fo4wTO", "Exercises/lion-break-rug.Rmd", passed, "Gi-Fun-127", comment
Preliminaries, "pattern book functions", "5.01", "H2KG3", "Exercises/pattern-book-zeros.Rmd", passed, "Gi-Fun-103i Gi-Fun-103j Gc-Fun-119", comment
Preliminaries, "pattern book functions", "5.02", "Pdt9jy", "Exercises/lobster-ride-glasses.Rmd", passed, "Gc-Fun-104", on paper
Preliminaries, "pattern book functions", "5.03", "VIW7T","Exercises/pattern-book-axis-crossing.Rmd", passed, "Co-Fun-102b", comment
Preliminaries, "pattern book functions", "5.04", "ILESX", "Exercises/cat-lend-futon.Rmd", passed, "Nr-Fun-121", comment
Preliminaries, "pattern book functions (conceptual)", "5.15", "Qj0JAr", "Exercises/bear-lay-plant.Rmd", passed, "Re-Fun-105 Gi-Fun-105", "scale invariance"
Preliminaries, "pattern book functions", "5.06", "DLWSA", "Exercises/pattern-book-domain.Rmd", passed, "Re-Fun-105 Re-Fun-104", comment
Preliminaries, "pattern book functions", "5.07", "RLUCX", "Exercises/range-domain.Rmd", passed, "Gi-Fun-105", comment
Preliminaries, "pattern book functions", "5.08", "MNCLS2", "Exercises/pattern-book-range.Rmd", passed, "Bk-Fun-105", comment
Preliminaries, "pattern book functions", "5.09", "AZrAj8", "Exercises/shark-rise-kitchen.Rmd", passed, "Gc-Fun-104 Gc-Fun-105", comment
Preliminaries, "describing functions", "6.01", "H2eu2", "Exercises/pattern-book-descriptions.Rmd", passed, "Bk-Fun-103b", "concavity of pattern-book functions"
Preliminaries, "describing functions", "6.02", "PYKG5", "Exercises/pattern-book-concave.Rmd", passed, "Bk-Fun-103 Gc-Fun-103", comment
